ChargeStartDateTime;Model;Country;SiteLocationName;Description;QuantityBase;QuantityTier1;QuantityTier2;QuantityTier3;QuantityTier4;InvoiceNumber;UnitCostBase;UnitCostTier1;UnitCostTier2;UnitCostTier3;UnitCostTier4;VAT;Total Exc. VAT;Total Inc. VAT;Status;Invoice
2022-06-28T18:32:23+02:00;ms;AT;Villach, Austria;CHARGING : NO_CHARGE;52.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-28T15:06:21+02:00;ms;IT;Mogliano Veneto, Italy;CHARGING : NO_CHARGE;43.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-28T11:22:17+02:00;ms;IT;Occhiobello, Italy;CHARGING : NO_CHARGE;34.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-28T09:19:38+02:00;ms;IT;Firenze, Italy;CHARGING : NO_CHARGE;32.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-27T16:16:30+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;64.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-26T14:54:29+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;18.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-26T04:13:14+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;31.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-25T20:24:08+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;5.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-25T16:50:09+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;24.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-25T11:41:22+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;34.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-23T19:25:51+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;29.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-22T16:45:56+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;30.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-22T11:37:55+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;13.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-21T09:15:14+02:00;ms;IT;Oristano, Italy;CHARGING : NO_CHARGE;37.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-20T19:17:07+02:00;ms;IT;Tarquinia, Italy;CHARGING : NO_CHARGE;20.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-20T16:49:56+02:00;ms;IT;Magliano Sabina, Italy;CHARGING : NO_CHARGE;63.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-20T13:28:45+02:00;ms;IT;Tarquinia, Italy;CHARGING : NO_CHARGE;36.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-20T11:46:39+02:00;ms;IT;Grosseto, Italy;CHARGING : NO_CHARGE;32.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-20T03:13:54+02:00;ms;IT;Firenze, Italy;CHARGING : NO_CHARGE;51.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-20T01:11:11+02:00;ms;IT;Occhiobello, Italy;CHARGING : NO_CHARGE;34.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-19T23:37:30+02:00;ms;IT;Mogliano Veneto, Italy;CHARGING : NO_CHARGE;36.00 kwh;N/A;N/A;N/A;N/A;;0.52/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-19T20:44:28+02:00;ms;AT;Villach, Austria;CHARGING : NO_CHARGE;25.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-19T20:24:24+02:00;ms;AT;Villach, Austria;CHARGING : NO_CHARGE;19.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-19T17:08:31+02:00;ms;AT;Kapfenberg, Austria;CHARGING : NO_CHARGE;52.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-19T15:59:13+02:00;ms;AT;Wiener Neustadt, Austria;CHARGING : NO_CHARGE;20.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-19T14:40:34+02:00;ms;AT;Poysdorf, Austria;CHARGING : NO_CHARGE;2.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-19T14:08:54+02:00;ms;AT;Poysdorf, Austria;CHARGING : NO_CHARGE;34.00 kwh;N/A;N/A;N/A;N/A;;0.53/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
2022-06-19T11:49:21+02:00;ms;CZ;Olomouc, Czech Republic;CHARGING : NO_CHARGE;42.00 kwh;N/A;N/A;N/A;N/A;;13.30/kwh;N/A;N/A;N/A;N/A;0.00;0.00;0.00;PAID;
